run,final_epoch,final_valid_loss,AP_mitotic
offline-run-20260205_135124-s9rf2iqy,1,1.583453,0.0
offline-run-20260206_002151-b68wabli,1,1.68097,0.0
offline-run-20260206_103855-ki60kkio,1,1.708534,0.0
