epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-mitotic,figure,time
0,1.347929,1.583453,0.0,0.254452,1.329001,0.0,4.0,18.0
1,1.142572,1.242632,0.0,0.210887,1.031745,0.0,3.0,24.0
2,1.025777,1.199063,0.0,0.204461,0.994603,0.0,9.0,40.0
3,0.97531,1.092276,0.0,0.184634,0.907642,0.0,3.0,47.0
4,0.934827,1.18024,0.156883,0.220445,0.959795,0.156883,8.0,45.0
5,0.914857,1.083115,0.366356,0.195543,0.887571,0.366356,1.0,59.0
6,0.851224,0.99176,0.357973,0.207622,0.784137,0.357973,1.0,32.0
7,0.734427,1.064247,0.343655,0.197378,0.866868,0.343655,1.0,44.0
8,0.70496,0.76644,0.620165,0.18418,0.58226,0.620165,8.0,57.0
9,0.633887,0.678071,0.684389,0.149671,0.5284,0.684389,8.0,55.0
10,0.573371,0.635165,0.669008,0.152019,0.483147,0.669008,9.0,5.0
11,0.530237,0.623966,0.677669,0.125974,0.497992,0.677669,1.0,10.0
12,0.471352,0.479108,0.728943,0.141952,0.337156,0.728943,7.0,52.0
13,0.456138,0.477546,0.685925,0.095095,0.382452,0.685925,8.0,34.0
14,0.429589,0.397602,0.777047,0.08523,0.312372,0.777047,8.0,27.0
15,0.404992,0.405014,0.69328,0.086552,0.318462,0.69328,8.0,31.0
16,0.390082,0.42534,0.754801,0.08745,0.33789,0.754801,8.0,31.0
17,0.345179,0.391659,0.82522,0.071398,0.320261,0.82522,8.0,24.0
18,0.332488,0.383514,0.766732,0.081825,0.301689,0.766732,4.0,0.0
19,0.319384,0.308151,0.8736,0.068147,0.240005,0.8736,8.0,30.0
20,0.321622,0.309715,0.827421,0.067927,0.241788,0.827421,10.0,22.0
21,0.300163,0.295416,0.823361,0.064743,0.230673,0.823361,9.0,20.0
22,0.279093,0.297709,0.861909,0.070566,0.227142,0.861909,9.0,35.0
23,0.304497,0.305574,0.811843,0.054111,0.251463,0.811843,9.0,6.0
24,0.29325,0.272544,0.905903,0.05607,0.216474,0.905903,8.0,53.0
25,0.297388,0.299311,0.813149,0.060372,0.238939,0.813149,2.0,7.0
26,0.257532,0.223832,0.897029,0.046053,0.177778,0.897029,8.0,55.0
27,0.281859,0.259946,0.873067,0.053235,0.206711,0.873067,9.0,0.0
28,0.260828,0.277492,0.86278,0.056699,0.220793,0.86278,9.0,1.0
29,0.260905,0.261389,0.827248,0.051567,0.209822,0.827248,9.0,1.0
30,0.266146,0.215939,0.878927,0.04611,0.169828,0.878927,8.0,56.0
31,0.257192,0.226311,0.878853,0.041189,0.185122,0.878853,8.0,46.0
32,0.228546,0.275699,0.886698,0.05229,0.223409,0.886698,2.0,9.0
33,0.247698,0.262719,0.844242,0.05121,0.211509,0.844242,0.0,45.0
34,0.23111,0.308052,0.847054,0.054468,0.253584,0.847054,0.0,41.0
35,0.230143,0.253237,0.907369,0.051037,0.2022,0.907369,0.0,46.0
36,0.242685,0.270211,0.923382,0.039707,0.230505,0.923382,0.0,48.0
37,0.220575,0.29545,0.844686,0.066438,0.229012,0.844686,0.0,40.0
38,0.23173,0.224748,0.895088,0.044288,0.18046,0.895088,0.0,48.0
39,0.245444,0.268613,0.918746,0.051742,0.216871,0.918746,2.0,45.0
40,0.21,0.209287,0.921022,0.049504,0.159782,0.921022,8.0,58.0
41,0.23284,0.253123,0.86969,0.048882,0.20424,0.86969,8.0,53.0
42,0.219736,0.252759,0.906923,0.059564,0.193195,0.906923,8.0,48.0
43,0.224211,0.214445,0.91698,0.038524,0.175921,0.91698,8.0,43.0
44,0.207991,0.189472,0.909537,0.034207,0.155265,0.909537,8.0,44.0
45,0.217349,0.189315,0.918811,0.042802,0.146513,0.918811,8.0,9.0
46,0.233264,0.228163,0.880245,0.033233,0.19493,0.880245,1.0,11.0
47,0.23487,0.202716,0.923066,0.043025,0.159691,0.923066,3.0,4.0
48,0.213848,0.221426,0.89005,0.038895,0.182531,0.89005,8.0,47.0
49,0.204897,0.255314,0.877737,0.042251,0.213063,0.877737,8.0,49.0
50,0.218667,0.168441,0.94281,0.029468,0.138973,0.94281,8.0,44.0
51,0.216762,0.296032,0.902526,0.049935,0.246098,0.902526,8.0,51.0
52,0.219189,0.186386,0.921443,0.034058,0.152329,0.921443,8.0,46.0
53,0.224847,0.197144,0.933074,0.047614,0.14953,0.933074,7.0,38.0
54,0.224248,0.203917,0.944645,0.038331,0.165586,0.944645,0.0,51.0
55,0.205209,0.220062,0.908539,0.043917,0.176145,0.908539,0.0,52.0
56,0.2028,0.234738,0.927716,0.045858,0.18888,0.927716,7.0,32.0
57,0.20949,0.211085,0.907092,0.057852,0.153233,0.907092,8.0,51.0
58,0.197377,0.18627,0.889507,0.035258,0.151012,0.889507,8.0,39.0
59,0.189373,0.162849,0.944272,0.031834,0.131015,0.944272,8.0,49.0
60,0.189558,0.240841,0.922902,0.040926,0.199915,0.922902,8.0,49.0
61,0.186591,0.195779,0.881973,0.038539,0.15724,0.881973,8.0,49.0
62,0.189561,0.222993,0.952595,0.038106,0.184887,0.952595,3.0,33.0
63,0.173936,0.210394,0.939694,0.042863,0.167532,0.939694,0.0,56.0
64,0.21708,0.229163,0.908216,0.044238,0.184926,0.908216,4.0,52.0
65,0.198138,0.225682,0.907673,0.041271,0.18441,0.907673,8.0,30.0
66,0.183423,0.203407,0.938021,0.034853,0.168553,0.938021,8.0,16.0
67,0.179716,0.224019,0.922311,0.040444,0.183575,0.922311,8.0,10.0
68,0.177917,0.201515,0.907816,0.030601,0.170914,0.907816,8.0,1.0
69,0.179593,0.192721,0.928143,0.033527,0.159194,0.928143,8.0,6.0
70,0.178593,0.194732,0.916486,0.032945,0.161787,0.916486,8.0,5.0
71,0.177328,0.204303,0.88637,0.038441,0.165861,0.88637,1.0,45.0
72,0.182095,0.197177,0.921192,0.037856,0.159321,0.921192,1.0,15.0
73,0.18479,0.161573,0.917664,0.034608,0.126965,0.917664,8.0,3.0
74,0.173405,0.229128,0.9144,0.039457,0.189672,0.9144,8.0,5.0
75,0.181486,0.182231,0.946751,0.032366,0.149864,0.946751,8.0,15.0
76,0.173334,0.159234,0.938547,0.034236,0.124998,0.938547,8.0,8.0
77,0.176723,0.208338,0.942463,0.041555,0.166783,0.942463,8.0,19.0
78,0.168942,0.196961,0.891498,0.036563,0.160398,0.891498,8.0,38.0
79,0.164589,0.174962,0.933111,0.030326,0.144636,0.933111,4.0,39.0
80,0.161402,0.167976,0.940258,0.033633,0.134343,0.940258,0.0,44.0
81,0.175018,0.199634,0.924429,0.03254,0.167094,0.924429,2.0,52.0
82,0.184154,0.202984,0.923057,0.051225,0.151759,0.923057,8.0,45.0
83,0.179266,0.191838,0.943643,0.033784,0.158054,0.943643,8.0,39.0
84,0.171905,0.189743,0.911064,0.030484,0.159259,0.911064,8.0,41.0
85,0.171042,0.172636,0.929056,0.032999,0.139636,0.929056,8.0,46.0
86,0.15765,0.170566,0.943429,0.029201,0.141364,0.943429,8.0,42.0
87,0.170736,0.185345,0.914837,0.031735,0.15361,0.914837,8.0,0.0
88,0.155657,0.175307,0.94803,0.036894,0.138413,0.94803,1.0,5.0
89,0.166911,0.166745,0.956191,0.029433,0.137311,0.956191,0.0,42.0
90,0.178524,0.157082,0.924343,0.032146,0.124936,0.924343,5.0,44.0
91,0.156442,0.180109,0.951949,0.037749,0.14236,0.951949,8.0,37.0
92,0.15092,0.190468,0.925674,0.036521,0.153947,0.925674,8.0,38.0
93,0.158195,0.167827,0.950738,0.032927,0.1349,0.950738,8.0,40.0
94,0.170915,0.178656,0.910795,0.030452,0.148204,0.910795,8.0,37.0
95,0.167568,0.172722,0.94367,0.031645,0.141077,0.94367,8.0,37.0
96,0.163765,0.189039,0.918146,0.03477,0.154269,0.918146,6.0,24.0
97,0.164465,0.173795,0.954528,0.035222,0.138573,0.954528,0.0,43.0
98,0.158312,0.19453,0.942866,0.035789,0.15874,0.942866,0.0,36.0
