run,epochs_parsed,final_epoch,final_train_loss,mean_train_loss,std_train_loss,min_train_loss,final_valid_loss,best_valid_loss,best_valid_epoch,mean_valid_loss,std_valid_loss,final_AP,best_AP,best_AP_epoch,mean_AP,std_AP,final_VOC,best_VOC,best_VOC_epoch
offline-run-20260205_135124-s9rf2iqy,99,98,0.158312,0.30185455555555546,0.23413813762607,0.15092,0.19453,0.157082,90,0.3290643232323232,0.28044116304522737,0.942866,0.956191,89,0.8254607575757574,0.21753145000947874,0.942866,0.956191,89
offline-run-20260206_002151-b68wabli,99,98,0.165795,0.30270298989898986,0.23249295675171097,0.153472,0.183125,0.135383,50,0.3318739898989899,0.2957714747129053,0.935586,0.96398,76,0.8422255252525254,0.20717270894955456,0.935586,0.96398,76
