epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-mitotic,figure,time
78,0.165109,0.17425,0.918447,0.038248,0.136002,0.918447,2.0,1.0
79,0.177733,0.178735,0.952543,0.036419,0.142316,0.952543,9.0,17.0
80,0.178489,0.189414,0.896307,0.037654,0.151761,0.896307,9.0,6.0
81,0.189232,0.191316,0.918984,0.039663,0.151652,0.918984,9.0,20.0
82,0.175625,0.189895,0.933839,0.03539,0.154505,0.933839,9.0,20.0
83,0.169857,0.220486,0.922498,0.043065,0.177421,0.922498,9.0,12.0
84,0.15392,0.181834,0.943257,0.042605,0.139229,0.943257,7.0,46.0
85,0.166415,0.182326,0.940865,0.040821,0.141505,0.940865,0.0,51.0
86,0.17861,0.188489,0.912407,0.037618,0.150871,0.912407,0.0,38.0
87,0.164303,0.175595,0.937708,0.035027,0.140568,0.937708,9.0,13.0
88,0.157605,0.176434,0.902904,0.034779,0.141655,0.902904,3.0,47.0
89,0.171692,0.154418,0.923011,0.029762,0.124656,0.923011,9.0,30.0
90,0.165809,0.174605,0.948399,0.035499,0.139106,0.948399,9.0,27.0
91,0.153472,0.187152,0.932194,0.039994,0.147158,0.932194,9.0,24.0
92,0.165272,0.155465,0.963875,0.030992,0.124473,0.963875,9.0,27.0
93,0.159544,0.17831,0.93488,0.03579,0.14252,0.93488,9.0,45.0
94,0.163169,0.182964,0.933688,0.041141,0.141823,0.933688,4.0,34.0
95,0.166628,0.182457,0.924687,0.039808,0.14265,0.924687,0.0,52.0
96,0.160854,0.17569,0.936318,0.036238,0.139452,0.936318,3.0,12.0
97,0.168694,0.142865,0.95734,0.031028,0.111837,0.95734,9.0,46.0
98,0.165795,0.183125,0.935586,0.034205,0.14892,0.935586,9.0,45.0
